nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Kylafood Seblak Original Play,Rp15.050,kylafood,Bandung,1rb+ terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp11.500,jajanangarut19,Jakarta Selatan,250+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2rb+ terjual,4.8
Seblak pedas kerupuk pedas kiloan 1 kg,Rp35.000,RIKI STORE 97,Kab. Bogor,100+ terjual,4.8
seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,Jakarta Barat,750+ terjual,4.8
"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,60+ terjual,5.0
Seblak Instan,Rp8.000,ROEMAH MOSLEM,Kab. Boyolali,40+ terjual,5.0
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp22.500,Lidigeli,Kab. Garut,40+ terjual,5.0
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,Rp10.000,TOKO KUE MEISYA,Jakarta Pusat,100+ terjual,4.9
KERUPUK BAWANG WARNA MERAH KRUPUK SEBLAK MENTAH - 500 gram,Rp11.500,BociKakang,Jakarta Selatan,90+ terjual,5.0
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp17.499,aghniya,Tangerang Selatan,50+ terjual,4.9
Seblak instan yoi enak dan kenyang,Rp7.500,SeblakYoi,Bekasi,250+ terjual,5.0
seblak frozen,Rp10.400,pelangi girls naget,Jakarta Timur,2rb+ terjual,4.9
PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,Rp4.550,ivy's-kitchen,Kab. Tangerang,500+ terjual,4.7
"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,60+ terjual,5.0
SEBLAK INSTAN MAMANG TERMURAH,Rp4.000,global cookware1,Jakarta Barat,100+ terjual,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Kylafood Seblak Rempah Autentik,Rp10.000,Kylafood Jakarta,Jakarta Selatan,90+ terjual,5.0
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,Rp22.000,ajs(ale jaya snack),Jakarta Utara,30+ terjual,5.0
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,Rp39.900,Beauty DELUXE,Jakarta Barat,9 terjual,5.0
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,Rp35.000,Lidigeli,Kab. Garut,100+ terjual,4.9
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Mawar Warna,Rp23.500,BociKakang,Jakarta Selatan,250+ terjual,5.0
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,Rp19.050,dariimyu,Kab. Indramayu,100+ terjual,5.0
Kylafood Seblak Rempah Autentik,Rp10.000,Kylafood Jakarta,Jakarta Selatan,90+ terjual,5.0
KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET 500 GRAM,Rp32.100,TOKO KUE MEISYA,Jakarta Pusat,40+ terjual,5.0
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,Rp4.990,NomeL Shop,Surabaya,2rb+ terjual,4.7
Sukro pilus Cikur Sari rasa 500 g - toping seblak - baso aci,Rp18.000,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.9
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,Rp6.000,GK_Snack,Kab. Bandung,750+ terjual,5.0
Seblak Instan Komplit Bumbu Basah,Rp9.859,Eatbam store,Jakarta Timur,70+ terjual,4.7
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,Rp15.500,toko bemo,Jakarta Timur,500+ terjual,4.9
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,Rp16.800,Foodstocks,Jakarta Selatan,100+ terjual,5.0
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,Rp14.000,ajs(ale jaya snack),Jakarta Utara,90+ terjual,4.9
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,Jakarta Barat,30+ terjual,4.9
KERUPUK SEBLAK KENCUR BERAT 250 gram,Rp11.500,aurel prima snack,Jakarta Barat,100+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,Rp40.000,Beauty DELUXE,Jakarta Barat,16 terjual,5.0
Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,Rp6.800,Djuragan Kerupuk,Surabaya,90+ terjual,5.0
Seblak Sultan instant,Rp14.000,Sultan Meat Shop,Medan,250+ terjual,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK / KRUPUK SEBLAK KERING / SEBLAK PEDES,Rp25.000,Innes Oleh Oleh,Jakarta Barat,2 terjual,
kerupuk seblak pedas 1 kg / kerupuk seblak,Rp35.625,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
PAKET BUNDLING HEMAT 12  (6 pcs seblak 6pcs baso aci ) MAKANAN INSTAN ,Rp44.999,gudangsnacktgr19,Kab. Tangerang,5 terjual,4.3
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,30+ terjual,5.0
KERUPUK JABLAY BANTET SEBLAK PELANGI,Rp15.999,Toko kue Sumber Mas,Jakarta Timur,500+ terjual,4.9
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",Rp18.000,global cookware1,Jakarta Barat,1rb+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp15.000,DUO BOCIL SNACK,Depok,40+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,Kab. Garut,250+ terjual,4.8
seblak ceker pedas kerupuk,Rp10.000,ken-olshop,Bekasi,250+ terjual,5.0
"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp9.999,aghniya,Tangerang Selatan,70+ terjual,4.9
KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,Rp5.000,SuperSnacksShop,Kab. Bandung,1rb+ terjual,4.9
SABRING KERUPUK SEBLAK PEDAS,Rp4.000,RIKI STORE 97,Kab. Bogor,40+ terjual,5.0
"pilus cikur/kencur renceng isi 20 bks. baso aci, seblak, cemilan dll",Rp9.999,aghniya,Tangerang Selatan,250+ terjual,5.0
Kylafood Seblak Original Play,Rp15.050,kylafood,Bandung,1rb+ terjual,5.0
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,50+ terjual,5.0
"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",Rp25.999,aghniya,Tangerang Selatan,250+ terjual,4.9
Agen Seblak Mommy,Rp9.750,Kenal Jaya Bandung,Bandung,3rb+ terjual,4.9
"baso aci boci instan maci eco ayam, keju, seblak",Rp8.999,snackbox88,Bekasi,100+ terjual,4.9
krupuk seblak hah pedas gurih 500gr,Rp25.000,Markas Makaroni,Kab. Bekasi,750+ terjual,4.9
Kerupuk Jablay Bantet Seblak isi 10 pcs,Rp10.000,ken-olshop,Bekasi,250+ terjual,5.0
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,250+ terjual,5.0
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
krupuk seblak hah pedas gurih 200gr,Rp10.000,Markas Makaroni,Kab. Bekasi,1rb+ terjual,4.9
Kerupuk Mentah 250gr Seblak Mentah,Rp6.200,Pedas Gilaa,Surabaya,250+ terjual,5.0
Seblak Basranger Extra Pedas 200gr,Rp17.300,Rak Sebelah,Jakarta Pusat,250+ terjual,4.9
seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,Jakarta Barat,1rb+ terjual,4.8
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Rak Sebelah,Jakarta Pusat,100+ terjual,4.9
CUANKIE SIOMAY ISI 50 TOPPING BASO ACI / SEBLAK,Rp18.000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,28 terjual,4.5
kerupuk bubur/ seblak / gado- gado/ ketoprak 500gr,Rp18.000,Taufik Bumbu Giling,Jakarta Selatan,100+ terjual,4.9
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,2rb+ terjual,4.9
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,Rp11.500,aurel prima snack,Jakarta Barat,15 terjual,4.8
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp12.000,insanprimastore,Tangerang Selatan,17 terjual,5.0
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.000,Anggris store,Kab. Bogor,50+ terjual,4.8
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,Rp16.695,Toko kue Sumber Mas,Jakarta Timur,250+ terjual,4.9
Seblak Tokpokki by Inara Food,Rp23.000,Inara Food Official,Depok,6 terjual,5.0
krupuk seblak hah pedas gurih 1kg,Rp50.000,Markas Makaroni,Kab. Bekasi,500+ terjual,5.0
SEBLAK JELETET MURNI (AJAHH),Rp26.500,Seblak Jeletet Murni,Jakarta Pusat,1rb+ terjual,4.9
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,Rp42.000,global cookware1,Jakarta Barat,28 terjual,5.0
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,BociKakang,Jakarta Selatan,500+ terjual,4.8
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,50+ terjual,5.0
PAKET 11 PCS SEBLAK COET SAMBAL IJO TATANGGA Food Rawit,Rp44.999,gudangsnacktgr19,Kab. Tangerang,,
seblak kencur / okesnack,Rp10.000,oke snack,Jakarta Selatan,750+ terjual,4.9
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,Rp15.000,Lidigeli,Kab. Garut,100+ terjual,4.9
kerupuk ikan mentah putih seblak gurih renyah garing 1000gr - M,Rp26.500,Radja Herbal Indonesia,Kab. Bekasi,17 terjual,5.0
Kerupuk Seblak Vegetarian Snack Vegan,Rp14.500,veggieku store,Jakarta Barat,7 terjual,4.8
kerupuk seblak pedas 1/2 kg / kerupuk seblak ½ - Pedas,Rp20.482,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
Kerupuk Mie Pedas Bantet/ Kerupuk Seblak Keriting Pedas,Rp13.500,Homisnack Official,Jakarta Selatan,4 terjual,5.0
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,Rp35.000,Lidigeli,Kab. Garut,100+ terjual,4.9
Seblak Instant Homemade Lengkap Bumbu,Rp5.000,Pedas Gilaa,Surabaya,3rb+ terjual,4.8
seblak instan,Rp4.555,tsr1997,Depok,2rb+ terjual,4.8
cuanki lidah khas garut 50 pcs enak untuk baso aci dan seblak ( BRY ),Rp15.999,aghniya,Tangerang Selatan,500+ terjual,4.9
Cuanki Batagor besar isi 25 pcs toping seblak baso Aci bakso cuanki,Rp8.600,Distributor Cuanki dan Seblak,Kab. Bekasi,100+ terjual,4.9
"Seblak Instant ""mBak'Well""",Rp15.000,Welly Mart,Tangerang Selatan,100+ terjual,5.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,Rp6.173,Berkah Food Bandung,Cimahi,6rb+ terjual,4.9
Seblak Kerupuk,Rp12.000,agen produk organik jkt,Jakarta Timur,,
Kerupuk Pedas Sebring Seblak Keriting Extra Pedas Kencur isi 150 Gram - 150gr,Rp12.000,toko kue pundi mas,Jakarta Pusat,100+ terjual,4.8
kerupuk seblak pedas/kerupuk jablai 100gram,Rp8.000,Warung Snackk,Tangerang,11 terjual,5.0
Seblak Tulang Rangu Nyai Mercon,Rp21.000,Jajanan Hits (JS),Tangerang Selatan,30+ terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,70+ terjual,4.9
"seblak ceker 1 kg pedas daun jeruk, gurih,cemilan bikin nagih",Rp35.999,aghniya,Tangerang Selatan,40+ terjual,5.0
SEBLAK BAPPER INSTAN EXTRA HOT,Rp15.900,Ss_Frozenfood,Jakarta Timur,250+ terjual,4.9
KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET 500 GRAM,Rp32.100,TOKO KUE MEISYA,Jakarta Pusat,40+ terjual,5.0
Krupuk seblak//Krupuk Bantet 250gr,Rp6.000,Bunda alifba,Jakarta Barat,40+ terjual,4.8
Seblak Bapper,Rp13.999,Pedas Gilaa,Surabaya,250+ terjual,4.9
Seblak Rempah Autentik isi 5 pcs,Rp45.000,Kylafood Jakarta,Jakarta Selatan,40+ terjual,5.0
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,BociKakang,Jakarta Selatan,500+ terjual,4.8
Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,Rp9.000,The Little Snacks,Tangerang Selatan,1rb+ terjual,4.9
Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,Rp9.000,The Little Snacks,Tangerang Selatan,1rb+ terjual,4.9
Seblak Rempah Autentik isi 5 pcs,Rp45.000,Kylafood Jakarta,Jakarta Selatan,40+ terjual,5.0
MASJAY Combo 3pcs Seblak Bandung Instant Bumbu Pedas Membara,Rp39.000,Lidigeli,Kab. Garut,29 terjual,4.7
Kerupuk Kepang/Rantai Mentah Warna Warni Merk Singa Kerupuk Seblak  - 250gr,Rp6.790,Djuragan Kerupuk,Surabaya,2 terjual,
Kerupuk Seblak Mentah Warna-Warni/Kerupuk Seblak Mini Mentah,Rp8.000,Homisnack Official,Jakarta Selatan,,
Kerupuk Seblak Viral / Kerupuk Mawar Putih Viral Mentah 250gram,Rp8.000,Bumbukeluargakita,Jakarta Barat,18 terjual,5.0
Seblak Komplit⠀⠀,Rp5.500,lisdhacollection,Kab. Garut,2rb+ terjual,4.8
Seblak beton extra pedas daun jeruk 500gram,Rp25.500,Seblak Guludug Bandung,Kab. Bandung,10 terjual,5.0
SEBLAK JUMBO + SOSIS INSTANT,Rp5.800,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,1rb+ terjual,4.7
PAKET MIX HEMAT 25 BASO ACI/BOCI/SEBLAK/CUANKI,Rp45.000,ArfaOnlineShop,Tangerang,70+ terjual,4.9
SEBLAK INSTAN SAJODO SNACK,Rp18.500,Sajodo Snack & Food,Tasikmalaya,70+ terjual,5.0
KERUPUK SEBLAK KENCUR/SEBLAK CIKRUH BERAT 500 GRAM,Rp22.500,aurel prima snack,Jakarta Barat,8 terjual,3.7
seblak / paket seblak bumbu komplit pedas ekonomis,Rp3.479,Grosir Putra Bdg,Kab. Bandung,250+ terjual,4.9
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE, ENAK DAN GURIH",Rp18.000,global cookware1,Jakarta Barat,90+ terjual,4.9
Omiyago Snack Kerupuk Seblak,Rp6.020,omiyago,Jakarta Barat,30+ terjual,4.8
Kerupuk Seblak Kencur Pedas Gurih - Anum Sari - 250 Gram,Rp14.000,ANUM SARI,Tangerang Selatan,70+ terjual,4.9
cemilan SEBLAK KARI PEDAS 65gr,Rp4.500,oke snack,Jakarta Selatan,100+ terjual,4.8
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,Rp16.618,Lakoca Official Shop,Cimahi,100+ terjual,4.9
Kerupuk Seblak Putih/ Kerupuk Seblak Putih Pedas Daun Jeruk,Rp15.000,Homisnack Official,Jakarta Selatan,5 terjual,5.0
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Molagi Snack - 250 Gram,Rp15.000,MOLAGI SNACK,Depok,5 terjual,
Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,Rp51.900,Rak Sebelah,Jakarta Pusat,50+ terjual,4.8
"CUANKI SIOMAY TOPING BASO ACI, MIE INSTAN, SEBLAK",Rp17.500,global cookware1,Jakarta Barat,500+ terjual,4.8
KERUPUK SEBLAK JABLAY 250 GRAM,Rp10.000,TOKO KUE MEISYA,Jakarta Pusat,250+ terjual,4.9
KERUPUK KRUPUK JABLAY SEBLAK PELANGI KILOAN TERLARIS 250 GRAM,Rp15.000,toko kue pundi mas,Jakarta Pusat,100+ terjual,4.9
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK 250GRAM SNACK KILOAN,Rp15.000,ajs(ale jaya snack),Jakarta Utara,10 terjual,4.7
KERUPUK SEBLAK Aneka Warna PEDAS ... HOT,Rp14.000,KRIUK JAYA,Jakarta Barat,100+ terjual,4.7
Cuanki lidah standar 150 pcs khas garut untuk baso aci & Seblak K'rasa,Rp39.999,aghniya,Tangerang Selatan,500+ terjual,4.9
KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY ,Rp6.600,TOKO SNACK JAKARTA HENDI,Jakarta Timur,1rb+ terjual,4.8
"seblak krupuk 5000 ,pedas dan gurih",Rp4.000,anugrah seblak,Kab. Bandung,1rb+ terjual,4.7
Makanan Kering Kerupuk Seblak Pedas 100 gram,Rp5.000,BLIBET,Jakarta Barat,8 terjual,5.0
"keripik beling / kaca 1 kg. bumbu seblak daun jeruk enak, gurih, pedas",Rp44.999,aghniya,Tangerang Selatan,250+ terjual,4.8
kerupuk seblak pedas / kerupuk jablay,Rp15.000,CAMILLANS,Jakarta Selatan,17 terjual,4.9
Kerupuk Merah Seblak 250gr BANDUNG,Rp4.950,yohangunawan94,Bandung,750+ terjual,5.0
