nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.8,Luar Jabodetabek
Kylafood Seblak Original Play,15050,kylafood,Bandung,1000,5.0,Luar Jabodetabek
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,100,4.9,Jabodetabek
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,Jabodetabek
KERUPUK SEBLAK MENTAH ANEKA WARNA,11500,jajanangarut19,Jakarta Selatan,250,4.9,Jabodetabek
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8,Jabodetabek
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,Jabodetabek
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100,4.8,Jabodetabek
seblak instant sajodo snak,19000,hikmah berkah jaya,Jakarta Barat,750,4.8,Jabodetabek
"Kylafood Seblak Cup Instan, Halal",11500,Brother Meat Shop,Depok,60,5.0,Jabodetabek
Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,40,5.0,Luar Jabodetabek
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,22500,Lidigeli,Kab. Garut,40,5.0,Luar Jabodetabek
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,10000,TOKO KUE MEISYA,Jakarta Pusat,100,4.9,Jabodetabek
KERUPUK BAWANG WARNA MERAH KRUPUK SEBLAK MENTAH - 500 gram,11500,BociKakang,Jakarta Selatan,90,5.0,Jabodetabek
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",17499,aghniya,Tangerang Selatan,50,4.9,Jabodetabek
Seblak instan yoi enak dan kenyang,7500,SeblakYoi,Bekasi,250,5.0,Jabodetabek
seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,Jabodetabek
PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,4550,ivy's-kitchen,Kab. Tangerang,500,4.7,Jabodetabek
SEBLAK INSTAN MAMANG TERMURAH,4000,global cookware1,Jakarta Barat,100,4.9,Jabodetabek
Kylafood Seblak Rempah Autentik,10000,Kylafood Jakarta,Jakarta Selatan,90,5.0,Jabodetabek
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,22000,ajs(ale jaya snack),Jakarta Utara,30,5.0,Jabodetabek
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,39900,Beauty DELUXE,Jakarta Barat,9,5.0,Jabodetabek
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,35000,Lidigeli,Kab. Garut,100,4.9,Luar Jabodetabek
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Mawar Warna,23500,BociKakang,Jakarta Selatan,250,5.0,Jabodetabek
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar Jabodetabek
KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET 500 GRAM,32100,TOKO KUE MEISYA,Jakarta Pusat,40,5.0,Jabodetabek
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,4990,NomeL Shop,Surabaya,2000,4.7,Luar Jabodetabek
Sukro pilus Cikur Sari rasa 500 g - toping seblak - baso aci,18000,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9,Jabodetabek
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000,GK_Snack,Kab. Bandung,750,5.0,Luar Jabodetabek
Seblak Instan Komplit Bumbu Basah,9859,Eatbam store,Jakarta Timur,70,4.7,Jabodetabek
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500,toko bemo,Jakarta Timur,500,4.9,Jabodetabek
